stratum,category,peak_hour,peak_pct,day_type
O1,eating,12,16.156,weekday
O1,exercise,19,5.578,weekday
O1,food_prep,17,5.665,weekday
O1,laundry,18,1.282,weekday
O1,other,20,36.53,weekday
O1,sleeping,3,94.668,weekday
O1,travel,17,14.35,weekday
O1,tv,20,24.118,weekday
O1,work,10,67.539,weekday
O1,eating,18,11.175,weekend
O1,exercise,13,5.275,weekend
O1,food_prep,17,6.563,weekend
O1,laundry,11,2.867,weekend
O1,other,20,39.195,weekend
O1,sleeping,3,93.114,weekend
O1,travel,16,10.913,weekend
O1,tv,20,31.088,weekend
O1,work,11,19.092,weekend
O2,eating,17,18.656,weekday
O2,exercise,9,5.316,weekday
O2,food_prep,17,12.805,weekday
O2,laundry,11,2.857,weekday
O2,other,10,57.163,weekday
O2,sleeping,2,97.723,weekday
O2,travel,12,9.215,weekday
O2,tv,20,56.813,weekday
O2,work,8,0.813,weekday
O2,eating,18,18.249,weekend
O2,exercise,8,3.93,weekend
O2,food_prep,17,9.624,weekend
O2,laundry,11,2.846,weekend
O2,other,10,56.791,weekend
O2,sleeping,2,97.76,weekend
O2,travel,12,8.671,weekend
O2,tv,20,61.169,weekend
O2,work,9,0.325,weekend
O3,eating,18,17.834,weekday
O3,exercise,17,2.854,weekday
O3,food_prep,17,10.6,weekday
O3,laundry,17,1.226,weekday
O3,other,19,38.694,weekday
O3,sleeping,2,97.546,weekday
O3,travel,16,17.146,weekday
O3,tv,20,26.296,weekday
O3,work,10,72.102,weekday
O3,eating,18,17.481,weekend
O3,exercise,14,4.937,weekend
O3,food_prep,17,9.801,weekend
O3,laundry,13,2.867,weekend
O3,other,10,51.223,weekend
O3,sleeping,3,97.989,weekend
O3,travel,15,11.194,weekend
O3,tv,20,31.798,weekend
O3,work,10,11.378,weekend
O4,eating,12,12.306,weekday
O4,exercise,11,2.321,weekday
O4,food_prep,17,16.429,weekday
O4,laundry,10,5.36,weekday
O4,other,10,57.753,weekday
O4,sleeping,2,95.792,weekday
O4,travel,15,12.093,weekday
O4,tv,20,24.52,weekday
O4,work,12,3.525,weekday
O4,eating,17,13.404,weekend
O4,exercise,12,4.398,weekend
O4,food_prep,16,9.616,weekend
O4,laundry,13,4.119,weekend
O4,other,14,56.082,weekend
O4,sleeping,3,96.25,weekend
O4,travel,11,9.035,weekend
O4,tv,19,29.429,weekend
O4,work,11,1.353,weekend
