hour,category,weighted_pct,stratum,day_type
0,sleeping,85.438,O1,weekday
0,work,3.89,O1,weekday
0,food_prep,0.116,O1,weekday
0,laundry,0.0,O1,weekday
0,tv,2.97,O1,weekday
0,eating,0.119,O1,weekday
0,exercise,0.049,O1,weekday
0,travel,0.651,O1,weekday
0,other,6.767,O1,weekday
1,sleeping,90.6,O1,weekday
1,work,3.749,O1,weekday
1,food_prep,0.116,O1,weekday
1,laundry,0.0,O1,weekday
1,tv,1.511,O1,weekday
1,eating,0.0,O1,weekday
1,exercise,0.049,O1,weekday
1,travel,0.359,O1,weekday
1,other,3.617,O1,weekday
2,sleeping,93.926,O1,weekday
2,work,3.241,O1,weekday
2,food_prep,0.116,O1,weekday
2,laundry,0.088,O1,weekday
2,tv,1.015,O1,weekday
2,eating,0.102,O1,weekday
2,exercise,0.0,O1,weekday
2,travel,0.134,O1,weekday
2,other,1.378,O1,weekday
3,sleeping,94.668,O1,weekday
3,work,2.696,O1,weekday
3,food_prep,0.167,O1,weekday
3,laundry,0.0,O1,weekday
3,tv,1.01,O1,weekday
3,eating,0.048,O1,weekday
3,exercise,0.0,O1,weekday
3,travel,0.096,O1,weekday
3,other,1.314,O1,weekday
4,sleeping,89.696,O1,weekday
4,work,2.829,O1,weekday
4,food_prep,1.194,O1,weekday
4,laundry,0.0,O1,weekday
4,tv,0.507,O1,weekday
4,eating,0.522,O1,weekday
4,exercise,0.421,O1,weekday
4,travel,0.81,O1,weekday
4,other,4.021,O1,weekday
5,sleeping,75.346,O1,weekday
5,work,5.794,O1,weekday
5,food_prep,1.615,O1,weekday
5,laundry,0.0,O1,weekday
5,tv,0.224,O1,weekday
5,eating,1.02,O1,weekday
5,exercise,1.983,O1,weekday
5,travel,3.9,O1,weekday
5,other,10.117,O1,weekday
6,sleeping,51.153,O1,weekday
6,work,15.022,O1,weekday
6,food_prep,2.376,O1,weekday
6,laundry,0.327,O1,weekday
6,tv,0.917,O1,weekday
6,eating,2.311,O1,weekday
6,exercise,1.091,O1,weekday
6,travel,8.123,O1,weekday
6,other,18.679,O1,weekday
7,sleeping,32.384,O1,weekday
7,work,28.769,O1,weekday
7,food_prep,3.521,O1,weekday
7,laundry,0.101,O1,weekday
7,tv,1.281,O1,weekday
7,eating,4.591,O1,weekday
7,exercise,1.076,O1,weekday
7,travel,12.134,O1,weekday
7,other,16.142,O1,weekday
8,sleeping,17.684,O1,weekday
8,work,52.661,O1,weekday
8,food_prep,1.33,O1,weekday
8,laundry,0.853,O1,weekday
8,tv,2.543,O1,weekday
8,eating,2.453,O1,weekday
8,exercise,1.784,O1,weekday
8,travel,5.892,O1,weekday
8,other,14.801,O1,weekday
9,sleeping,9.808,O1,weekday
9,work,63.6,O1,weekday
9,food_prep,0.603,O1,weekday
9,laundry,0.556,O1,weekday
9,tv,1.697,O1,weekday
9,eating,2.573,O1,weekday
9,exercise,1.277,O1,weekday
9,travel,3.809,O1,weekday
9,other,16.079,O1,weekday
10,sleeping,5.756,O1,weekday
10,work,67.539,O1,weekday
10,food_prep,1.217,O1,weekday
10,laundry,0.0,O1,weekday
10,tv,2.305,O1,weekday
10,eating,2.268,O1,weekday
10,exercise,0.589,O1,weekday
10,travel,3.692,O1,weekday
10,other,16.635,O1,weekday
11,sleeping,3.819,O1,weekday
11,work,64.729,O1,weekday
11,food_prep,0.755,O1,weekday
11,laundry,0.223,O1,weekday
11,tv,2.594,O1,weekday
11,eating,5.734,O1,weekday
