hour,weighted_min_sum,pct_of_category,stratum,category
0,985952898209.6893,7.4,O1,sleeping
1,421206688315.0969,3.16,O1,sleeping
2,281978885178.46124,2.12,O1,sleeping
3,85456200110.67606,0.64,O1,sleeping
4,3601824981597.747,27.05,O1,sleeping
5,20539430433.7916,0.15,O1,sleeping
6,63075547136.964165,0.47,O1,sleeping
7,38758372187.18225,0.29,O1,sleeping
8,34391803347.67748,0.26,O1,sleeping
9,34826848861.30336,0.26,O1,sleeping
10,72766738313.63977,0.55,O1,sleeping
11,60050565885.4342,0.45,O1,sleeping
12,52722461537.620384,0.4,O1,sleeping
13,38354013862.18055,0.29,O1,sleeping
14,45791933882.15462,0.34,O1,sleeping
15,56140801023.8425,0.42,O1,sleeping
16,51172071801.270096,0.38,O1,sleeping
17,55155300614.23408,0.41,O1,sleeping
18,165950023083.35553,1.25,O1,sleeping
19,251778717661.7165,1.89,O1,sleeping
20,920403977004.5768,6.91,O1,sleeping
21,1932421006610.1147,14.51,O1,sleeping
22,2272007273966.768,17.06,O1,sleeping
23,1772108130391.2788,13.31,O1,sleeping
0,0.0,0.0,O1,food_prep
1,1150020798.71283,0.26,O1,food_prep
2,238446140.46306,0.05,O1,food_prep
3,197148143.325135,0.04,O1,food_prep
4,661123999.996035,0.15,O1,food_prep
5,8732807874.632786,1.96,O1,food_prep
6,7981340617.149834,1.79,O1,food_prep
7,33533782426.494995,7.52,O1,food_prep
8,34456277904.397865,7.72,O1,food_prep
9,50089431450.40419,11.23,O1,food_prep
10,37651058809.94591,8.44,O1,food_prep
11,30500375954.665195,6.84,O1,food_prep
12,31412676755.69257,7.04,O1,food_prep
13,33734944693.127014,7.56,O1,food_prep
14,14297992240.7109,3.2,O1,food_prep
15,30442516578.306477,6.82,O1,food_prep
16,34266435735.981342,7.68,O1,food_prep
17,23735849354.05349,5.32,O1,food_prep
18,21026489748.333466,4.71,O1,food_prep
19,21657150677.553333,4.85,O1,food_prep
20,13686345173.64854,3.07,O1,food_prep
21,11121375196.220314,2.49,O1,food_prep
22,5446476840.354637,1.22,O1,food_prep
23,166732307.570165,0.04,O1,food_prep
0,0.0,0.0,O1,laundry
1,0.0,0.0,O1,laundry
2,0.0,0.0,O1,laundry
3,0.0,0.0,O1,laundry
4,0.0,0.0,O1,laundry
5,0.0,0.0,O1,laundry
6,9108595.891385,0.71,O1,laundry
7,0.0,0.0,O1,laundry
8,0.0,0.0,O1,laundry
9,0.0,0.0,O1,laundry
10,19984542.660432,1.56,O1,laundry
11,0.0,0.0,O1,laundry
12,22254154.687643,1.74,O1,laundry
13,144053790.18222,11.24,O1,laundry
14,0.0,0.0,O1,laundry
15,0.0,0.0,O1,laundry
16,65682828.940859996,5.13,O1,laundry
17,34293509.89474,2.68,O1,laundry
18,77053557.652305,6.01,O1,laundry
19,908616638.1534001,70.93,O1,laundry
20,0.0,0.0,O1,laundry
21,0.0,0.0,O1,laundry
22,0.0,0.0,O1,laundry
23,0.0,0.0,O1,laundry
0,902052484.496865,0.25,O1,tv
1,359873508.00490004,0.1,O1,tv
2,0.0,0.0,O1,tv
3,0.0,0.0,O1,tv
4,13181857320.598051,3.63,O1,tv
5,310206753.891885,0.09,O1,tv
6,8185254589.106415,2.25,O1,tv
7,6164169868.883785,1.7,O1,tv
8,34667578797.456474,9.54,O1,tv
9,39339507751.30935,10.83,O1,tv
10,21028711648.694878,5.79,O1,tv
11,11960837943.815844,3.29,O1,tv
12,34125148713.35971,9.39,O1,tv
13,16168343302.634378,4.45,O1,tv
14,9953164298.985455,2.74,O1,tv
15,27244152208.877514,7.5,O1,tv
16,28195736993.590424,7.76,O1,tv
17,16711593170.02476,4.6,O1,tv
18,34095017447.619087,9.39,O1,tv
19,29523382861.636047,8.13,O1,tv
20,13845695792.078766,3.81,O1,tv
21,13617711952.08374,3.75,O1,tv
22,598137191.25906,0.16,O1,tv
23,3052174448.07414,0.84,O1,tv
0,60900663019.47995,0.93,O1,work
1,11476118945.41124,0.18,O1,work
2,16755211863.604471,0.26,O1,work
3,7405309471.102875,0.11,O1,work
4,183465377004.81546,2.81,O1,work
5,179575863191.3985,2.75,O1,work
6,517309797461.82715,7.93,O1,work
7,809783920227.3231,12.41,O1,work
8,835474405810.5083,12.8,O1,work
9,494461647982.3322,7.58,O1,work
10,366808628552.204,5.62,O1,work
11,310481544788.013,4.76,O1,work
12,748383587535.1737,11.47,O1,work
13,640174710652.3871,9.81,O1,work
14,373185226097.46783,5.72,O1,work
15,251368763130.2067,3.85,O1,work
16,141072035001.1145,2.16,O1,work
17,134935344909.74977,2.07,O1,work
18,117195781061.85591,1.8,O1,work
19,78899488774.43224,1.21,O1,work
20,63767450455.21513,0.98,O1,work
21,85866378278.98082,1.32,O1,work
22,69680925212.64656,1.07,O1,work
23,28985414054.337784,0.44,O1,work
0,2319433427.448175,0.21,O1,eating
1,2325235617.577207,0.21,O1,eating
2,2422626996.871905,0.21,O1,eating
3,2043507577.68556,0.18,O1,eating
4,8190740187.39488,0.73,O1,eating
5,8316813226.071527,0.74,O1,eating
6,20389025557.810555,1.81,O1,eating
7,39530967728.79097,3.51,O1,eating
8,39403141413.56697,3.49,O1,eating
9,47790821316.285934,4.24,O1,eating
10,38923675756.82143,3.45,O1,eating
11,65964907210.30457,5.85,O1,eating
12,180726877821.34775,16.03,O1,eating
13,72880508566.15402,6.46,O1,eating
14,39448042914.18993,3.5,O1,eating
15,40984354490.757324,3.63,O1,eating
16,54278269337.44428,4.81,O1,eating
17,100595642450.38953,8.92,O1,eating
18,137465988084.04358,12.19,O1,eating
19,109507769424.27133,9.71,O1,eating
20,64648378239.31141,5.73,O1,eating
21,35483506292.56623,3.15,O1,eating
22,8820214622.428835,0.78,O1,eating
23,5136720865.75638,0.46,O1,eating
0,0.0,0.0,O1,exercise
1,0.0,0.0,O1,exercise
2,0.0,0.0,O1,exercise
3,0.0,0.0,O1,exercise
4,9215738063.425724,2.37,O1,exercise
5,23123011387.414253,5.94,O1,exercise
6,13457953384.662365,3.46,O1,exercise
7,18514669052.489536,4.76,O1,exercise
8,20098164924.837677,5.16,O1,exercise
9,25503433184.62966,6.55,O1,exercise
10,15434256753.845663,3.97,O1,exercise
11,17692371445.59842,4.55,O1,exercise
12,24559365695.942554,6.31,O1,exercise
13,36108114666.80691,9.28,O1,exercise
14,9478717314.518341,2.44,O1,exercise
15,18028213626.952538,4.63,O1,exercise
16,26508849688.599113,6.81,O1,exercise
17,42512845986.73004,10.92,O1,exercise
18,52266348834.81384,13.43,O1,exercise
19,21771456041.01014,5.59,O1,exercise
20,9558836591.83979,2.46,O1,exercise
21,1591974734.78039,0.41,O1,exercise
22,2845551192.4872,0.73,O1,exercise
23,903946351.3961359,0.23,O1,exercise
0,673442563059.5011,4.92,O2,sleeping
1,254980870208.71628,1.86,O2,sleeping
2,147170128328.66205,1.07,O2,sleeping
3,91837886547.40042,0.67,O2,sleeping
4,3646536868713.7925,26.62,O2,sleeping
5,38146811031.178444,0.28,O2,sleeping
